sku	name	original_codes	description	applications	image_url
RV0402.0020	ALTERNADOR GM2.4L - 12/70A HYSTER H70FT	HY 1534017 / YA 580039672 / DAEWOO 219232 / DELCO 19020601 / 19020609 / 19020604 / 19020611 / 19020612 / 19020600 / 863077-1 / 8630771 / 219290 / 1246621 / 4136117	Alternador de 12V e 70A compatível com motores GM 2.4L. Aplicado em empilhadeiras Hyster H70FT e Yale 70VX. Ideal para uso industrial com alta demanda elétrica.	H70FT / YALE 70VX / GM2.4L / GM4.3L / CLARK GTS PSI2.4L	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738869/rv04020020_t8ekty.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738869/rv04020020n1_otzu3d.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738870/rv04020020n2_dcqcef.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738877/rv04020020n3_b2pwqi.jpg"""
RV0402.0031	ALTERNADOR TOYOTA 1FZ - 12V/90A	TY 270607864071 / 27060-UK010	Alternador de 12V e 90A indicado para empilhadeiras Toyota com motor 1FZ. Desempenho confiável em ambientes exigentes.	5FG50/60/70 - 7FG35/40/45 - 7FGA50 - 7FGK40	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738875/rv04020031_ebub8g.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738875/rv04020031n1_n0qfx8.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738875/rv04020031n2_coecfs.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738876/rv04020031n3_qnp8os.jpg"""
RV0402.0305	ALTERNADOR MAZDA - 12V/35A	HY 1310962 / YA 150014502 / 150022504 / 902183801	Alternador compacto de 12V e 35A, compatível com motores Mazda 2.0L. Ideal para aplicações industriais com baixa demanda elétrica.	HYSTER / YALE c/ MAZDA 2.0L - OU OUTRAS COM ADAPTAÇÕES	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738881/rv04020305_bnnpww.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738881/rv04020305n1_itfrjx.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738899/rv04020305n2_bekmsj.png"""
RV0402.0475	ALTERNADOR DENSO YANMAR 3.3L 12V	HY 1599869 / YA 580062772 / KUBOTA D750B D1005B DSL / 62812000220 / 1735664010 / 1735664012 / 1002114390 / 1002116800 / 1002116801 / 1012112490 / 1012112841 / 1012113640 / 11925477200 / 1012111170	Alternador de 12V desenvolvido para motores Yanmar 3.3L. Alta durabilidade e desempenho em aplicações agrícolas e industriais.	HYSTER/YALE C/ MOTOR YANMAR 3.3L DIESEL | BOBCAT 453C, 553, 553F, 320 | CASE CX27B | NEW HOLLAND E27B COM MOTOR YANMAR 4TNE84, 4TNE88, 3TNV82A | JOHN DEERE 4610, 4700, 4710, 110TLB, AM879908, LVA12357, TY25243, 129423-77200, 101211-1170	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738882/rv04020475_otlwjh.png"""
RV0402.0488	ALTERNADOR HYSTER MAZDA - 12V/40A MAZDA 2.0/2.2L	HY 1361853 / HY 1450928 / HY 3068342 / HY 3123908 / YA 580000990 / YA 582005178 / 9019488	Alternador de 12V e 40A ideal para motores Mazda em empilhadeiras Hyster. Instalação rápida e eficiente.	H50CT / H50FT / H55FT / H60FT / H1.8TX / H50XM / H55XM / H60XM / GLP18AK / GLP050LX / GP30TE / GP25RE / GTP050RL / GTP055RL / GTP060TL / GLP050VX / GLP055VX / GLP060VX	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738882/rv04020488_kvqciz.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738883/rv04020488n1_hav7pb.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738887/rv04020488n2_caahgq.png"""
RV0402.0490	ALTERNADOR TOYOTA 4Y - 12V/50A	TY 270607815371 / TY 270607815871 / TY 27060-78161-71 / TY 27060-78160-71 / DENSO 1012113580 / 27060-UB030 / 27060-UB030 / 27060-78157-71	Alternador de 12V e 50A compatível com motores Toyota 4Y. Recomendado para empilhadeiras em operação contínua.		"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738889/rv04020490_jncjgd.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738887/rv04020490n1_omgnyn.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738888/rv04020490n2_j0k6so.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738887/rv04020490n3_ete5ju.png"""
RV0402.0492	ALTERNADOR NISSAN K21/K25 12V /50A	NI 23100FU410 / NI 2310050K15 / NI 2310050k10 / 23100-50K10 / 23100-50K15 / 23100-FU410 / 23100-FF110 / 91H20-03270 / 91h20-03271 / A007TA3377	Alternador de 12V e 50A projetado para motores Nissan K21 e K25. Excelente performance em empilhadeiras industriais.	MÁQUINAS C/ MOTOR NISSAN K15, K21, K25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738893/rv04020492_ld7eq0.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738893/rv04020492n1_wahpyi.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738900/rv04020492n2_jlabqr.png"""
RV0402.0494	ALTERNADOR MITSUBISHI 4G63/4G64 12V/75A	MD316418 / MD354809D / 920244 / 3141931 / 50875 / 923371 / 20G0043 / MD169683 / MD354809 / CLARK 928179 / 2318827 / A2TA2871 / A2TA2871A	Alternador de 12V e 75A indicado para motores Mitsubishi 4G63 e 4G64. Compatível com empilhadeiras FG25.	MITSUBISHI FG25	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738893/rv04020494_gdgqsq.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738894/rv04020494n1_z8rm3v.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738894/rv04020494n1_z8rm3v.jpg"""
RV0402.0525	ALTERNADOR GM4.3L 12V/70A	HY 1469597 / YA 580026824 / DELCO 19020615 / 19020608 / 19020606 / 19020614 / 19020616 / 1469598 / 2406315 / 580026830 / 580026829	Alternador de 12V e 70A compatível com motores GM 4.3L. Utilizado em empilhadeiras, barcos e aplicações pesadas.	H155 XL2, CLARK COM GM 4.3L, MITSUBISHI COM MOTOR 4G52, 4G54 / Hyster, Crusader Boat, Marine, Pleasurecraft	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738899/rv04020525_ugjsm4.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739016/rv04020525n1_uwn7fo.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739016/rv04020525n1_uwn7fo.png"""
RV0402.0526	ALTERNADOR MITSUBISHI 24V / 100A	A4TA8191 / A004TA8191 / 01182764 / 01182336 / 01182764 / 01183126 / 1182336 / 1182764 / 1183126 / 566501100 / A004TA8191 / 20707050 / 1182764 / 20G0508	Alternador de 24V e 100A para motores eletrônicos Mitsubishi. Indicado para ônibus e máquinas pesadas.	Alternador Mitsubishi VOLVO ÔNIBUS MOTOR ELETRÔNICO, B7 B7R B9 B9R B10 B10R B12 B12R TAD734GE Deutz	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738899/rv04020526_lnausm.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739022/rv04020526n1_itulrp.png"""
